"to_id";"from_id"
"ForzaNuova1997";"1185936551668305921"
"ForzaNuova1997";"1577331385509023746"
"ForzaNuova1997";"421406745"
"ForzaNuova1997";"1026820406408302592"
"ForzaNuova1997";"1431637912710488070"
"ForzaNuova1997";"918728155"
"ForzaNuova1997";"494864928"
"ForzaNuova1997";"1508220082723475456"
"ForzaNuova1997";"1573379747052244993"
"ForzaNuova1997";"406981868"
"ForzaNuova1997";"1578990540045033475"
"ForzaNuova1997";"1578461210441404417"
"ForzaNuova1997";"943785082829107200"
"ForzaNuova1997";"1413252057293852675"
"ForzaNuova1997";"899661621164998657"
"ForzaNuova1997";"1548675287977791488"
"ForzaNuova1997";"1577780082336305153"
"ForzaNuova1997";"1573585433619009536"
"ForzaNuova1997";"1231981060218552320"
"ForzaNuova1997";"1283203336179798019"
"ForzaNuova1997";"259354494"
"ForzaNuova1997";"1450138074688655360"
"ForzaNuova1997";"1576929925134786561"
"ForzaNuova1997";"1360901681949646852"
"ForzaNuova1997";"1573262251594862599"
"ForzaNuova1997";"1028960244817436673"
"ForzaNuova1997";"1522195257697660928"
"ForzaNuova1997";"1033307516703334400"
"ForzaNuova1997";"1498354054187126788"
"ForzaNuova1997";"2996527997"
"ForzaNuova1997";"3047921773"
"ForzaNuova1997";"1567959390535270407"
"ForzaNuova1997";"915673854143582209"
"ForzaNuova1997";"1347940886878027776"
"ForzaNuova1997";"1005217562324586498"
"ForzaNuova1997";"1457076023200305155"
"ForzaNuova1997";"2197940667"
"ForzaNuova1997";"874250954"
"ForzaNuova1997";"1196060157215535105"
"ForzaNuova1997";"1167828249315086338"
"ForzaNuova1997";"1357344344382996489"
"ForzaNuova1997";"1281479160"
"ForzaNuova1997";"1442322577842573312"
"ForzaNuova1997";"1567951699834273792"
