"from_id";"to_id"
"1561114223253528577";"Zetazeroalfa451"
"1519599558103384064";"Zetazeroalfa451"
"1558717162528952321";"Zetazeroalfa451"
"1563223453016428545";"Zetazeroalfa451"
"1559113821121388545";"Zetazeroalfa451"
"1562459996314832899";"Zetazeroalfa451"
"173801603";"Zetazeroalfa451"
"1561579398532403202";"Zetazeroalfa451"
"120235785";"Zetazeroalfa451"
"1234135269244391425";"Zetazeroalfa451"
"1445551966097010704";"Zetazeroalfa451"
"1117395560502312960";"Zetazeroalfa451"
"1552284229362401280";"Zetazeroalfa451"
"163150563";"Zetazeroalfa451"
"1543287253732040705";"Zetazeroalfa451"
"1171398770019512320";"Zetazeroalfa451"
"1515793208189591557";"Zetazeroalfa451"
"1505092601740939266";"Zetazeroalfa451"
"1522115687539699712";"Zetazeroalfa451"
"1552536413102608385";"Zetazeroalfa451"
"1315148286148345856";"Zetazeroalfa451"
"1554013822591156224";"Zetazeroalfa451"
"1545508746146811905";"Zetazeroalfa451"
"1317180442810920961";"Zetazeroalfa451"
"1098662443990040577";"Zetazeroalfa451"
"1541832665623666688";"Zetazeroalfa451"
"1417513571135668224";"Zetazeroalfa451"
"3002449868";"Zetazeroalfa451"
"1479798554071904258";"Zetazeroalfa451"
"1500426070713147395";"Zetazeroalfa451"
"1430140840974893056";"Zetazeroalfa451"
"1532655045149433857";"Zetazeroalfa451"
"1508420668957863937";"Zetazeroalfa451"
"1535992584354549768";"Zetazeroalfa451"
"1462524715885641760";"Zetazeroalfa451"
"845624203";"Zetazeroalfa451"
"3510553816";"Zetazeroalfa451"
"1543704688075448320";"Zetazeroalfa451"
"128494672";"Zetazeroalfa451"
"1540600528463339521";"Zetazeroalfa451"
"1773910634";"Zetazeroalfa451"
"1497301638473781253";"Zetazeroalfa451"
"3120906105";"Zetazeroalfa451"
"1495476168568541200";"Zetazeroalfa451"
"1524733733244440583";"Zetazeroalfa451"
"529506952";"Zetazeroalfa451"
"300766372";"Zetazeroalfa451"
"1460000941613137923";"Zetazeroalfa451"
"453928990";"Zetazeroalfa451"
"1095172103572197376";"Zetazeroalfa451"
"1176580029356158976";"Zetazeroalfa451"
"3039135533";"Zetazeroalfa451"
"1399714966819721216";"Zetazeroalfa451"
"1018276171090399232";"Zetazeroalfa451"
"914145299056267266";"Zetazeroalfa451"
"703914332";"Zetazeroalfa451"
"1273641914";"Zetazeroalfa451"
"1088913859107348480";"Zetazeroalfa451"
"1319604897390747655";"Zetazeroalfa451"
"3260374834";"Zetazeroalfa451"
"1372960150043123719";"Zetazeroalfa451"
